Date,Tourney,Winner_name,Loser_name,Mrkt_Open_Time,W_MrkOp_odds,L_MrkOp_odds,Mrkt_Cls_Time,W_MrkCl_odds,L_MrkCl_odds,Curr_Mrkt_Time,W_Max_odds,Curr_Mrkt_Time,L_Max_odds
20170116,Australian Open,Richard Gasquet,Blake Mott,20170116 1201,1.07,17.5,20170117 0151,1.04,25.0,20170116 1326,1.09,20170117 0151,25.0
20170116,Australian Open,Pablo Carreno Busta,Peter Polansky,20170115 0026,1.29,4.4,20170117 0237,1.26,5.0,20170116 1221,1.31,20170116 1619,5.0
20170116,Australian Open,Kyle Edmund,Santiago Giraldo,20170116 1207,1.37,3.75,20170117 0332,1.37,3.7,20170116 1210,1.38,20170116 1249,4.5
20170116,Australian Open,Denis Istomin,Ivan Dodig,20170115 2152,2.1,1.91,20170117 0828,2.14,1.87,20170117 0757,2.26,20170116 0950,2.0
20170116,Australian Open,Novak Djokovic,Fernando Verdasco,20170113 1011,1.1,11.0,20170117 0815,1.08,15.0,20170113 1011,1.1,20170113 2033,15.0
20170116,Australian Open,Andy Murray,Andrey Rublev,20170117 2354,1.02,70.0,20170118 0935,1.02,55.0,20170117 2354,1.02,20170118 0822,75.0
20170116,Australian Open,Sam Querrey,Alex De Minaur,20170117 0137,1.34,3.9,20170118 0518,1.33,3.9,20170117 1058,1.38,20170117 1418,4.1
20170116,Australian Open,Mischa Zverev,John Isner,20170116 1105,2.72,1.59,20170118 0250,3.25,1.45,20170118 0235,3.3,20170116 1105,1.59
20170116,Australian Open,Malek Jaziri,Alexander Bublik,20170116 1105,1.51,2.98,20170118 0000,1.48,3.05,20170116 2203,1.6,20170117 2134,3.2
20170116,Australian Open,Tomas Berdych,Ryan Harrison,20170116 0431,1.29,4.5,20170118 0311,1.2,6.0,20170116 0431,1.29,20170117 2310,6.2
20170116,Australian Open,Roger Federer,Noah Rubin,20170117 1135,1.05,19.5,20170118 0430,1.03,32.0,20170117 1135,1.05,20170118 0344,34.0
20170116,Australian Open,Lukas Lacko,Dudi Sela,20170116 2221,2.8,1.56,20170118 0205,3.15,1.46,20170118 0152,3.25,20170117 1213,1.62
20170116,Australian Open,Kei Nishikori,Jeremy Chardy,20170116 2215,1.16,7.6,20170118 0010,1.1,11.0,20170116 2215,1.16,20170117 2351,11.0
20170116,Australian Open,Stanislas Wawrinka,Steve Johnson,20170116 2038,1.35,3.85,20170118 0223,1.29,4.5,20170117 0929,1.38,20170118 0223,4.5
20170116,Australian Open,Viktor Troicki,Paolo Lorenzi,20170116 1051,1.32,4.2,20170118 0404,1.26,4.8,20170116 1921,1.36,20170117 2243,4.8
20170116,Australian Open,Steve Darcis,Diego Sebastian Schwartzman,20170116 2311,2.6,1.65,20170118 0500,2.56,1.63,20170117 0851,2.66,20170118 0028,1.83
20170116,Australian Open,Andreas Seppi,Nick Kyrgios,20170116 1044,5.6,1.22,20170118 0721,9.2,1.12,20170118 0317,11.0,20170116 1044,1.22
20170116,Australian Open,Jo Wilfried Tsonga,Dusan Lajovic,20170117 1831,1.1,11.0,20170118 0020,1.06,16.0,20170117 1831,1.1,20170117 2333,16.5
20170116,Australian Open,Jack Sock,Karen Khachanov,20170116 2219,1.33,4.1,20170118 0730,1.33,4.0,20170117 2227,1.42,20170117 0716,4.2
